commute,happy_work,income,yeduc
15,2,100,15
15,3,100,15
15,1,100,16
15,2,100,16
15,4,100,16
15,3,100,16
15,4,100,16
15,2,100,16
15,3,100,16
15,2,100,16
15,3,100,16
15,2,100,16
15,1,100,16
15,3,100,16
15,1,100,16
15,2,100,16
15,2,100,16
15,2,100,16
15,3,100,16
15,1,100,16
15,0,100,16
15,0,100,16
15,0,100,16
15,0,100,16
15,3,100,16
15,4,100,16
15,2,100,16
15,2,100,16
15,1,100,16
15,1,100,16
15,3,100,16
15,0,100,17
15,1,100,18
15,3,200,9
15,3,200,9
15,3,200,9
15,3,200,9
15,0,200,9
15,2,200,11
15,2,200,11
15,1,200,11
15,2,200,11
15,2,200,11
15,2,200,12
15,2,200,12
15,3,200,12
15,2,200,12
15,1,200,12
15,1,200,12
15,2,200,12
15,3,200,12
15,2,200,12
15,2,200,12
15,2,200,12
15,2,200,12
15,3,200,12
15,2,200,12
15,3,200,12
15,1,200,12
15,2,200,12
15,2,200,12
15,3,200,12
15,3,200,12
15,2,200,12
15,3,200,12
15,0,200,12
15,2,200,12
15,4,200,12
15,1,200,12
15,2,200,12
15,2,200,12
15,2,200,12
15,3,200,12
15,2,200,12
15,1,200,12
15,3,200,12
15,3,200,12
15,1,200,12
15,2,200,12
15,2,200,12
15,2,200,12
15,3,200,12
15,1,200,12
15,2,200,12
15,2,200,12
15,1,200,12
15,3,200,12
15,2,200,12
15,1,200,12
15,2,200,12
15,1,200,12
15,1,200,12
15,0,200,12
15,1,200,12
15,2,200,12
15,2,200,12
15,2,200,12
15,1,200,12
15,2,200,12
15,2,200,12
15,3,200,12
15,2,200,12
15,2,200,12
15,1,200,12
15,3,200,12
15,2,200,12
15,4,200,12
15,1,200,12
15,3,200,12
15,2,200,12
15,3,200,12
15,3,200,12
15,1,200,12
15,0,200,12
15,1,200,12
15,1,200,12
15,0,200,12
15,1,200,12
15,0,200,12
15,3,200,12
15,2,200,12
15,3,200,12
15,1,200,12
15,3,200,12
15,3,200,12
15,0,200,12
15,4,200,12
15,3,200,12
15,0,200,12
15,2,200,12
15,2,200,12
15,2,200,13
15,3,200,13
15,2,200,13
15,1,200,13
15,2,200,13
15,4,200,13
15,0,200,13
15,3,200,13
15,3,200,13
15,2,200,13
15,3,200,13
15,2,200,13
15,0,200,13
15,1,200,13
15,3,200,13
15,2,200,13
15,0,200,13
15,3,200,13
15,3,200,13
15,3,200,13
15,2,200,13
15,1,200,13
15,3,200,13
15,2,200,13
15,3,200,13
15,3,200,13
15,3,200,13
15,4,200,13
15,1,200,13
15,2,200,13
15,0,200,13
15,2,200,13
15,3,200,13
15,1,200,13
15,0,200,13
15,2,200,13
15,3,200,13
15,0,200,13
15,0,200,13
15,3,200,13
15,2,200,13
15,3,200,13
15,3,200,13
15,2,200,13
15,3,200,13
15,0,200,13
15,3,200,13
15,2,200,13
15,3,200,13
15,0,200,13
15,3,200,13
15,2,200,13
15,3,200,13
15,1,200,13
15,1,200,13
15,1,200,13
15,1,200,13
15,2,200,13
15,1,200,13
15,2,200,14
15,2,200,14
15,0,200,14
15,3,200,14
15,4,200,14
15,0,200,14
15,0,200,14
15,4,200,14
15,1,200,14
15,3,200,14
15,1,200,14
15,1,200,14
15,3,200,14
15,2,200,14
15,4,200,14
15,0,200,14
15,2,200,14
15,0,200,14
15,3,200,14
15,1,200,14
15,4,200,14
15,2,200,14
15,3,200,14
15,3,200,14
15,3,200,14
15,3,200,14
15,1,200,14
15,1,200,14
15,1,200,14
15,1,200,14
15,0,200,14
15,0,200,14
15,2,200,14
15,3,200,14
15,4,200,14
15,2,200,14
15,0,200,14
15,1,200,14
15,2,200,14
15,3,200,14
15,3,200,14
15,2,200,14
15,4,200,14
15,2,200,14
15,0,200,15
15,4,200,15
15,2,200,15
15,1,200,15
15,2,200,15
15,1,200,15
15,1,200,15
15,2,200,15
15,3,200,16
15,1,200,16
15,1,200,16
15,2,200,16
15,2,200,16
15,3,200,16
15,3,200,16
15,2,200,16
15,4,200,16
15,3,200,16
15,1,200,16
15,1,200,16
15,3,200,16
15,2,200,16
15,1,200,16
15,2,200,16
15,0,200,16
15,2,200,16
15,0,200,16
15,0,200,16
15,3,200,16
15,1,200,16
15,2,200,16
15,0,200,16
15,1,200,16
15,1,200,16
15,1,200,16
15,3,200,16
15,3,200,16
15,4,200,16
15,0,200,16
15,1,200,17
15,2,200,18
15,1,200,18
15,1,200,18
15,2,300,9
15,0,300,9
15,1,300,9
15,0,300,9
15,1,300,9
15,1,300,9
15,1,300,11
15,4,300,11
15,2,300,11
15,2,300,11
15,2,300,11
15,1,300,11
15,1,300,12
15,4,300,12
15,0,300,12
15,3,300,12
15,3,300,12
15,0,300,12
15,2,300,12
15,3,300,12
15,2,300,12
15,0,300,12
15,1,300,12
15,1,300,12
15,2,300,12
15,4,300,12
15,4,300,12
15,0,300,12
15,2,300,12
15,0,300,12
15,2,300,12
15,2,300,12
15,3,300,12
15,3,300,12
15,2,300,12
15,3,300,12
15,0,300,12
15,3,300,12
15,3,300,12
15,4,300,12
15,2,300,12
15,4,300,12
15,3,300,12
15,2,300,12
15,4,300,12
15,0,300,12
15,3,300,12
15,2,300,12
15,3,300,12
15,3,300,12
15,4,300,12
15,0,300,12
15,2,300,12
15,4,300,12
15,3,300,12
15,2,300,12
15,3,300,12
15,2,300,12
15,4,300,12
15,3,300,12
15,2,300,12
15,4,300,12
15,3,300,12
15,0,300,12
15,0,300,12
15,4,300,12
15,1,300,12
15,2,300,12
15,2,300,12
15,3,300,12
15,1,300,12
15,2,300,12
15,2,300,12
15,2,300,12
15,1,300,12
15,2,300,12
15,1,300,12
15,0,300,12
15,4,300,12
15,3,300,12
15,3,300,12
15,2,300,12
15,0,300,12
15,1,300,12
15,0,300,12
15,0,300,12
15,4,300,12
15,0,300,12
15,3,300,12
15,1,300,12
15,3,300,12
15,2,300,12
15,3,300,12
15,0,300,12
15,1,300,12
15,2,300,13
15,3,300,13
15,3,300,13
15,3,300,13
15,3,300,13
15,1,300,13
15,4,300,13
15,1,300,13
15,3,300,13
15,3,300,13
15,3,300,13
15,3,300,13
15,2,300,13
15,2,300,13
15,3,300,13
15,3,300,13
15,2,300,13
15,3,300,13
15,3,300,13
15,2,300,13
15,3,300,13
15,1,300,13
15,3,300,13
15,2,300,13
15,1,300,13
15,2,300,13
15,3,300,13
15,4,300,13
15,3,300,13
15,4,300,13
15,2,300,13
15,2,300,13
15,3,300,13
15,3,300,13
15,1,300,13
15,2,300,13
15,3,300,13
15,4,300,13
15,3,300,13
15,4,300,13
15,3,300,13
15,3,300,13
15,3,300,13
15,4,300,13
15,3,300,13
15,2,300,13
15,3,300,13
15,4,300,13
15,1,300,13
15,3,300,14
15,3,300,14
15,3,300,14
15,3,300,14
15,3,300,14
15,3,300,14
15,2,300,14
15,2,300,14
15,2,300,14
15,2,300,14
15,3,300,14
15,2,300,14
15,3,300,14
15,0,300,14
15,1,300,14
15,1,300,14
15,2,300,14
15,2,300,14
15,1,300,14
15,3,300,14
15,3,300,14
15,2,300,14
15,1,300,14
15,2,300,14
15,3,300,14
15,1,300,14
15,4,300,14
15,3,300,14
15,2,300,14
15,4,300,14
15,3,300,14
15,2,300,14
15,1,300,14
15,2,300,14
15,3,300,14
15,1,300,14
15,1,300,14
15,2,300,14
15,3,300,15
15,3,300,15
15,3,300,15
15,3,300,15
15,1,300,16
15,2,300,16
15,2,300,16
15,4,300,16
15,1,300,16
15,0,300,16
15,0,300,16
15,1,300,16
15,3,300,16
15,1,300,16
15,2,300,16
15,1,300,16
15,1,300,16
15,4,300,16
15,3,300,16
15,1,300,16
15,2,300,16
15,3,300,16
15,1,300,16
15,4,300,16
15,3,300,16
15,0,300,16
15,2,300,16
15,3,300,16
15,1,300,16
15,1,300,16
15,3,300,16
15,2,300,16
15,1,300,16
15,3,300,16
15,2,300,16
15,2,300,16
15,3,300,16
15,0,300,16
15,3,300,16
15,0,300,16
15,4,300,16
15,4,300,16
15,0,300,16
15,4,300,16
15,1,300,16
15,3,300,16
15,3,300,16
15,3,300,16
15,2,300,16
15,3,300,16
15,2,300,16
15,2,300,16
15,0,300,16
15,1,300,16
15,2,300,16
15,3,300,16
15,3,300,16
15,3,300,16
15,2,300,16
15,2,300,16
15,2,300,16
15,3,300,16
15,3,300,16
15,1,300,16
15,2,300,16
15,3,300,16
15,3,300,16
15,3,300,16
15,4,300,16
15,4,300,16
15,1,300,16
15,3,300,16
15,3,300,16
15,3,300,16
15,1,300,16
15,1,300,16
15,4,300,16
15,0,300,16
15,0,300,16
15,3,300,18
15,0,300,18
15,3,300,18
15,3,300,18
15,2,400,9
15,2,400,9
15,3,400,9
15,2,400,11
15,0,400,11
15,2,400,11
15,0,400,11
15,3,400,11
15,2,400,12
15,3,400,12
15,2,400,12
15,0,400,12
15,2,400,12
15,1,400,12
15,2,400,12
15,0,400,12
15,0,400,12
15,2,400,12
15,2,400,12
15,1,400,12
15,2,400,12
15,2,400,12
15,2,400,12
15,3,400,12
15,0,400,12
15,3,400,12
15,2,400,12
15,2,400,12
15,1,400,12
15,1,400,12
15,1,400,12
15,3,400,12
15,2,400,12
15,1,400,12
15,2,400,12
15,1,400,12
15,3,400,12
15,2,400,12
15,2,400,12
15,1,400,12
15,2,400,12
15,2,400,12
15,3,400,12
15,4,400,12
15,3,400,12
15,3,400,12
15,2,400,12
15,0,400,12
15,1,400,12
15,3,400,12
15,2,400,12
15,2,400,12
15,1,400,12
15,2,400,12
15,3,400,12
15,2,400,12
15,3,400,12
15,0,400,12
15,3,400,12
15,1,400,12
15,3,400,12
15,0,400,12
15,2,400,12
15,0,400,12
15,1,400,12
15,3,400,12
15,0,400,12
15,1,400,12
15,3,400,12
15,2,400,12
15,3,400,12
15,2,400,12
15,1,400,12
15,3,400,12
15,2,400,13
15,1,400,13
15,0,400,13
15,1,400,13
15,2,400,13
15,3,400,13
15,1,400,13
15,3,400,13
15,3,400,13
15,2,400,13
15,4,400,13
15,0,400,13
15,2,400,13
15,4,400,13
15,0,400,13
15,3,400,13
15,1,400,13
15,4,400,13
15,1,400,13
15,0,400,13
15,2,400,13
15,3,400,13
15,4,400,13
15,1,400,13
15,1,400,13
15,1,400,13
15,3,400,13
15,3,400,13
15,1,400,13
15,3,400,13
15,0,400,13
15,3,400,13
15,4,400,14
15,4,400,14
15,3,400,14
15,2,400,14
15,3,400,14
15,4,400,14
15,4,400,14
15,3,400,14
15,3,400,14
15,2,400,14
15,2,400,14
15,4,400,14
15,3,400,15
15,0,400,15
15,1,400,15
15,3,400,15
15,3,400,15
15,0,400,15
15,1,400,15
15,2,400,16
15,1,400,16
15,2,400,16
15,4,400,16
15,4,400,16
15,2,400,16
15,2,400,16
15,1,400,16
15,4,400,16
15,4,400,16
15,3,400,16
15,3,400,16
15,2,400,16
15,1,400,16
15,0,400,16
15,4,400,16
15,3,400,16
15,4,400,16
15,2,400,16
15,1,400,16
15,2,400,16
15,3,400,16
15,3,400,16
15,3,400,16
15,2,400,16
15,1,400,16
15,2,400,16
15,2,400,16
15,1,400,16
15,3,400,16
15,3,400,16
15,2,400,16
15,2,400,16
15,2,400,16
15,3,400,16
15,1,400,16
15,3,400,16
15,2,400,16
15,1,400,16
15,0,400,16
15,3,400,16
15,1,400,16
15,3,400,16
15,2,400,16
15,1,400,16
15,1,400,16
15,3,400,16
15,2,400,16
15,4,400,16
15,3,400,16
15,4,400,16
15,2,400,16
15,2,400,16
15,3,400,16
15,0,400,16
15,3,400,16
15,3,400,18
15,4,400,18
15,3,500,11
15,3,500,11
15,3,500,11
15,3,500,11
15,4,500,12
15,3,500,12
15,4,500,12
15,2,500,12
15,0,500,12
15,3,500,12
15,4,500,12
15,4,500,12
15,3,500,12
15,3,500,12
15,4,500,12
15,2,500,12
15,3,500,12
15,3,500,12
15,3,500,12
15,2,500,12
15,3,500,12
15,0,500,12
15,2,500,12
15,3,500,12
15,3,500,12
15,3,500,12
15,3,500,12
15,3,500,12
15,4,500,12
15,3,500,12
15,4,500,12
15,4,500,12
15,3,500,12
15,3,500,12
15,4,500,13
15,3,500,13
15,2,500,13
15,4,500,13
15,4,500,13
15,3,500,13
15,1,500,13
15,2,500,13
15,2,500,13
15,2,500,13
15,3,500,13
15,3,500,13
15,2,500,13
15,2,500,13
15,3,500,13
15,3,500,13
15,3,500,13
15,2,500,13
15,3,500,13
15,1,500,13
15,3,500,13
15,4,500,13
15,3,500,13
15,4,500,13
15,2,500,14
15,2,500,14
15,2,500,14
15,3,500,14
15,2,500,14
15,2,500,14
15,2,500,14
15,2,500,15
15,2,500,15
15,2,500,16
15,3,500,16
15,4,500,16
15,0,500,16
15,1,500,16
15,2,500,16
15,4,500,16
15,1,500,16
15,3,500,16
15,3,500,16
15,4,500,16
15,3,500,16
15,3,500,16
15,4,500,16
15,3,500,16
15,0,500,16
15,1,500,16
15,3,500,16
15,2,500,16
15,3,500,16
15,2,500,16
15,0,500,16
15,3,500,16
15,3,500,16
15,3,500,16
15,0,500,16
15,1,500,16
15,4,500,16
15,3,500,16
15,2,500,16
15,3,500,16
15,2,500,16
15,4,500,16
15,4,500,16
15,2,500,16
15,2,500,16
15,3,500,16
15,0,500,16
15,3,500,16
15,2,500,16
15,0,500,16
15,2,500,16
15,2,500,16
15,4,500,16
15,1,500,16
15,2,500,16
15,3,500,16
15,0,500,16
15,2,500,16
15,3,500,18
15,3,500,18
15,2,500,18
15,3,500,18
15,3,500,18
15,2,500,18
15,3,700,9
15,3,700,12
15,3,700,12
15,4,700,12
15,4,700,12
15,3,700,12
15,1,700,12
15,4,700,12
15,4,700,12
15,3,700,12
15,4,700,12
15,3,700,12
15,1,700,12
15,4,700,12
15,0,700,12
15,3,700,12
15,0,700,12
15,3,700,12
15,1,700,12
15,3,700,13
15,4,700,13
15,1,700,13
15,1,700,13
15,1,700,13
15,1,700,13
15,1,700,13
15,4,700,13
15,2,700,13
15,3,700,14
15,2,700,14
15,2,700,14
15,3,700,15
15,3,700,16
15,3,700,16
15,0,700,16
15,3,700,16
15,3,700,16
15,3,700,16
15,4,700,16
15,3,700,16
15,2,700,16
15,3,700,16
15,0,700,16
15,3,700,16
15,3,700,16
15,3,700,16
15,3,700,16
15,3,700,16
15,4,700,16
15,3,700,16
15,1,700,18
15,2,700,18
15,3,700,18
15,3,700,18
15,1,700,18
15,1,700,18
15,4,1000,12
15,2,1000,12
15,4,1000,12
15,4,1000,13
15,4,1000,13
15,4,1000,16
15,3,1000,16
15,4,1000,16
15,3,1000,16
15,4,1000,16
15,3,1000,16
15,3,1000,16
15,3,1000,18
15,3,1500,16
15,4,2000,13
15,1,2250,16
30,2,0,12
30,4,0,13
30,2,0,13
30,4,0,13
30,4,0,13
30,2,0,13
30,4,0,14
30,2,0,15
30,4,0,16
30,2,12.5,12
30,4,12.5,12
30,2,12.5,12
30,4,12.5,12
30,2,12.5,12
30,3,12.5,13
30,3,12.5,13
30,3,12.5,13
30,3,12.5,13
30,2,12.5,14
30,2,12.5,14
30,3,12.5,15
30,1,12.5,15
30,2,12.5,15
30,2,12.5,15
30,1,12.5,15
30,0,12.5,15
30,3,12.5,15
30,2,12.5,15
30,3,12.5,15
30,3,12.5,15
30,3,12.5,16
30,3,12.5,16
30,3,12.5,16
30,3,12.5,16
30,3,12.5,16
30,2,12.5,17
30,3,12.5,18
30,1,50,9
30,2,50,11
30,2,50,11
30,1,50,12
30,3,50,12
30,3,50,12
30,0,50,12
30,2,50,12
30,3,50,12
30,2,50,12
30,3,50,13
30,2,50,13
30,2,50,13
30,2,50,13
30,2,50,13
30,3,50,13
30,3,50,13
30,3,50,13
30,2,50,14
30,1,50,14
30,1,50,14
30,1,50,14
30,1,50,14
30,2,50,15
30,3,50,15
30,3,50,15
30,3,50,15
30,4,50,15
30,4,50,15
30,3,50,15
30,3,50,15
30,2,50,15
30,3,50,15
30,3,50,15
30,1,50,15
30,2,50,15
30,2,50,15
30,4,50,15
30,3,50,15
30,1,50,15
30,2,50,15
30,3,50,16
30,3,50,16
30,3,50,16
30,3,50,16
30,2,50,16
30,1,50,18
30,0,100,9
30,1,100,9
30,1,100,11
30,0,100,11
30,3,100,11
30,3,100,11
30,1,100,11
30,2,100,12
30,4,100,12
30,1,100,12
30,2,100,12
30,3,100,12
30,4,100,12
30,2,100,12
30,1,100,12
30,3,100,12
30,0,100,12
30,1,100,12
30,3,100,12
30,2,100,12
30,2,100,12
30,4,100,12
30,4,100,12
30,1,100,12
30,2,100,12
30,2,100,12
30,2,100,12
30,2,100,12
30,3,100,12
30,1,100,12
30,2,100,12
30,2,100,12
30,1,100,12
30,2,100,12
30,1,100,12
30,2,100,12
30,1,100,12
30,4,100,12
30,2,100,12
30,2,100,12
30,4,100,12
30,1,100,12
30,3,100,12
30,3,100,13
30,4,100,13
30,1,100,13
30,2,100,13
30,3,100,13
30,2,100,13
30,4,100,13
30,4,100,13
30,2,100,13
30,2,100,13
30,3,100,13
30,2,100,13
30,1,100,13
30,4,100,13
30,2,100,13
30,3,100,13
30,2,100,13
30,1,100,13
30,0,100,13
30,1,100,13
30,3,100,13
30,2,100,13
30,3,100,14
30,3,100,14
30,3,100,14
30,3,100,14
30,3,100,14
30,0,100,14
30,0,100,14
30,4,100,14
30,3,100,14
30,3,100,14
30,1,100,14
30,4,100,14
30,4,100,14
30,3,100,14
30,3,100,14
30,0,100,15
30,0,100,15
30,0,100,15
30,1,100,15
30,1,100,15
30,3,100,15
30,2,100,15
30,1,100,15
30,3,100,15
30,4,100,15
30,1,100,15
30,2,100,15
30,2,100,15
30,2,100,16
30,2,100,16
30,2,100,16
30,2,100,16
30,1,100,16
30,1,100,16
30,1,100,16
30,3,100,16
30,2,100,16
30,2,100,16
30,3,100,16
