commute,female,happy_work,income,yeduc,female_commute,female_yeduc,female_income
15,0,3,100,12,0,0,0
15,0,0,100,12,0,0,0
15,0,2,100,12,0,0,0
15,0,3,100,12,0,0,0
15,1,3,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,0,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,0,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,0,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,0,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,3,100,12,15,12,100
15,1,1,100,12,15,12,100
15,1,2,100,12,15,12,100
15,1,4,100,12,15,12,100
15,1,0,100,12,15,12,100
15,1,1,100,12,15,12,100
15,0,2,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,3,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,0,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,0,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,3,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,3,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,3,200,12,0,0,0
15,0,3,200,12,0,0,0
15,0,3,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,3,200,12,0,0,0
15,0,0,200,12,0,0,0
15,0,1,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,2,200,12,0,0,0
15,0,0,200,12,0,0,0
15,1,0,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,4,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,4,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,0,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,4,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,4,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,1,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,2,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,1,3,200,12,15,12,200
15,0,3,300,12,0,0,0
15,0,0,300,12,0,0,0
15,0,0,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,0,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,4,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,3,300,12,0,0,0
