city,income,minshu,yeduc,city_income,city_yeduc
0,0,0,9,0,0
0,0,50,9,0,0
0,0,40,9,0,0
0,0,50,9,0,0
0,0,50,9,0,0
0,0,0,9,0,0
1,0,0,9,0,9
1,0,50,9,0,9
1,0,50,9,0,9
0,0,70,11,0,0
0,0,20,11,0,0
1,0,50,11,0,11
1,0,70,11,0,11
1,0,0,11,0,11
0,0,30,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,70,12,0,0
0,0,30,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,70,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,50,12,0,0
0,0,30,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,10,12,0,0
0,0,60,12,0,0
0,0,40,12,0,0
0,0,40,12,0,0
0,0,30,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,50,12,0,0
0,0,30,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,60,12,0,0
0,0,40,12,0,0
0,0,50,12,0,0
0,0,70,12,0,0
0,0,50,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,30,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,10,12,0,0
0,0,30,12,0,0
0,0,50,12,0,0
0,0,30,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,80,12,0,0
0,0,50,12,0,0
0,0,30,12,0,0
0,0,10,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,30,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,60,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,50,12,0,0
0,0,40,12,0,0
0,0,50,12,0,0
0,0,50,12,0,0
0,0,80,12,0,0
0,0,40,12,0,0
0,0,60,12,0,0
0,0,50,12,0,0
0,0,0,12,0,0
1,0,30,12,0,12
1,0,30,12,0,12
1,0,20,12,0,12
1,0,40,12,0,12
1,0,30,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,40,12,0,12
1,0,30,12,0,12
1,0,20,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,20,12,0,12
1,0,20,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,10,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,40,12,0,12
1,0,0,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,40,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,10,12,0,12
1,0,20,12,0,12
1,0,40,12,0,12
1,0,50,12,0,12
1,0,0,12,0,12
1,0,40,12,0,12
1,0,50,12,0,12
1,0,30,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,20,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,40,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,40,12,0,12
1,0,50,12,0,12
1,0,10,12,0,12
1,0,30,12,0,12
1,0,30,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,50,12,0,12
1,0,20,12,0,12
1,0,50,12,0,12
1,0,30,12,0,12
0,0,50,13,0,0
0,0,60,13,0,0
0,0,50,13,0,0
0,0,40,13,0,0
0,0,50,13,0,0
0,0,0,13,0,0
0,0,0,13,0,0
0,0,30,13,0,0
0,0,50,13,0,0
0,0,50,13,0,0
