y2008,y2011
-1.30763895,-0.1668041045
0.1937358895,1.425047776
0.4840054176,0.1070676109
-10.89030596,-0.2884326891
4.015068182,0.0201679266
-1.108908287,0.729393412
-0.9978501288,-0.8603672055
1.837193205,0.1897420022
-0.7036669993,0.3617374917
-3.228984263,-2.713157539
4.182330659,0.6846900334
-0.02855149619,1.146698723
0.9886689491,0.1359876598
-3.307050077,-1.13557533
1.418032827,2.454960866
2.37345351,-0.1147785503
1.483225437,1.124093522
-3.09987215,0.7685619077
-4.594418891,0.2619552589
0.0007696908074,-1.599376273
-0.155752113,-0.8058865483
1.858651584,-1.201908172
-3.328381233,0.7059311557
-1.98047708,0.5613676231
1.001580003,1.011677977
1.58980378,-1.779780434
-3.381996728,0.1918193512
-1.554962954,0.6091512483
-2.292447336,-1.475682081
2.44623048,-1.7396316
3.877848042,-6.381460841
-0.3032394861,-5.631113353
-0.8063664516,-1.451589173
1.698287231,2.686873702
-2.327335247,4.269247912
1.03948365,-1.667073452
4.124584763,-0.1531416573
1.509024747,1.066050408
-1.047068668,-0.6058501828
-2.329721683,-0.2054114203
2.881386804,2.605653399
0.5581177296,0.4758564438
2.201614307,-0.4799765065
-1.091832753,-1.21725999
0.2310615774,1.830206657
-0.2823745065,-0.4965172985
2.35448037,-1.691750656
0.2226398939,-1.217216287
-0.3199211505,1.740817854
1.806615783,0.8811031443
-1.135443105,1.616076454
-2.086558347,0.09599705237
2.161620212,-0.6596277628
1.174267953,0.7109372198
0.938946895,-1.507721513
-0.2266149031,-0.7010462774
-2.083371677,0.137849987
0.3738434643,-0.4279445827
0.2410805343,-0.1429173476
-0.85209494,-1.361457816
-1.332278267,-0.5744974148
2.982410756,1.466136488
1.504226267,-0.4203529667
-0.9063486046,1.78806752
1.580776886,0.2666209455
-0.6564364363,-2.367403199
-2.256260499,-0.5203030883
1.150957674,0.06891656763
-2.100954732,0.1870314518
0.6110778597,0.4982733042
2.687528712,0.3499069524
-0.04180785589,0.2774800168
0.7253204324,-1.717554442
-2.257732346,-0.6382905139
-1.340062266,1.15103769
-0.6087167689,1.778759241
-0.05709742412,-0.3400576558
-0.1419102042,0.8505170476
-0.05496842347,-1.042746071
-2.031445239,0.7351043047
-0.4660750381,1.717066579
-1.457077641,1.580441769
-0.1579556042,1.097197037
0.7109020439,-0.1125356258
-2.477588677,0.6590199353
0.1459063491,-0.6750074869
0.1154700056,-1.436451486
-0.2108255687,0.3742765465
-0.2267192529,-0.2715680543
-1.984173596,-0.4680768605
0.04891171533,1.16790852
0.3356219779,0.04486345947
2.93425944,1.208603517
0.9658957367,-0.8135959243
2.157740206,0.473602626
-1.993898576,-0.501666237
0.1425331114,-1.462188194
-1.465935912,-0.6923984736
1.57079503,0.1174938974
-2.06489142,-2.129768161
-1.383606759,0.2284374387
1.615494635,-3.790726164
0.3302732965,-2.199525115
1.973798745,-1.696966347
-3.083790265,1.048320192
-0.5100117484,-0.6303889542
-0.7106414616,1.387466928
-0.1039012037,-1.813448148
-0.7770730286,-2.542400426
-0.6780193767,-1.050428252
0.8856108737,1.208230288
-0.2017103365,-1.07526556
0.1198219193,1.524842648
2.357746965,2.013034105
-3.609097141,-4.107112041
-0.4117281008,1.992000859
-2.789292932,0.3384498914
3.319829334,-0.6327178257
-1.788731138,-2.539393289
-0.4365739249,1.748880788
-1.997110851,0.6024135388
0.9233013711,0.2281474327
-5.080237826,-2.091234045
1.199268981,-2.198337181
-2.241920063,2.843312521
3.687363922,0.9884078047
1.413765741,-0.01080365394
0.2019366437,0.8399972248
-0.8996162085,-0.3972007063
-0.9487223503,0.9605959249
-12.71543347,-0.8569752542
-3.075429288,1.493598061
-9.849052888,-1.562780968
2.619327706,0.3497686907
1.051863235,-1.035719432
-12.11102562,-0.03755535427
2.744648672,0.9565928506
3.523306722,3.235712125
3.284072181,-4.636549732
-7.027662713,1.845960699
-12.58242112,-1.671468737
-0.3557072705,1.14791091
7.455601532,-2.790815239
4.349754841,1.042527422
6.079565327,-0.7205365711
4.364756896,-0.9264351249
-6.757044957,0.1944190442
-3.617114012,-1.242648539
5.644816646,-0.3185999617
-3.042368757,-0.4024488403
-1.300118114,-1.87844489
-2.717516085,3.820794682
0.7087472272,1.40041644
-2.304655029,0.537901075
-0.6648769225,0.9031543742
-7.140873625,-0.662460904
2.661259423,-1.489704918
5.090684871,0.1913481967
-1.338944788,-0.3945660973
3.576360082,-1.67802002
-7.92526901,0.290242404
1.769794847,-1.264851117
-1.002749429,0.4853129302
9.575589322,1.470574462
-5.718330465,-0.7691460238
3.953766273,0.3384315291
0.5180291133,-0.2940110342
-0.2790530756,1.901348628
